date,country,sentiment_category
2010-03-15,euro area,1
2010-04-12,euro area,1
2010-04-19,euro area,1
2010-05-05,euro area,1
2010-05-06,euro area,1
2010-05-19,euro area,1
2010-06-11,euro area,1
2010-06-14,euro area,1
2010-07-09,euro area,0
2010-09-03,euro area,0
2010-09-19,euro area,1
2010-09-27,euro area,1
2010-09-27,euro area,0
2010-09-29,euro area,1
2010-09-29,euro area,0
2010-09-29,euro area,1
2010-10-08,euro area,-1
2010-10-18,euro area,1
2010-10-19,euro area,1
2010-10-20,euro area,1
2010-10-25,euro area,0
2010-11-15,euro area,1
2010-11-16,euro area,1
2010-11-18,euro area,0
2010-11-19,euro area,1
2010-11-25,euro area,1
2010-12-08,euro area,1
2011-01-28,euro area,0
2011-02-01,euro area,1
2011-02-11,euro area,1
2011-02-18,euro area,1
2011-03-04,euro area,0
2011-03-10,euro area,1
2011-03-11,euro area,1
2011-03-23,euro area,1
2011-04-04,euro area,1
2011-04-12,euro area,1
2011-05-23,euro area,0
2011-06-15,euro area,-1
2011-06-16,euro area,0
2011-06-27,euro area,1
2011-07-08,euro area,-1
2011-07-22,euro area,1
2011-08-31,euro area,1
2011-09-15,euro area,-1
2011-09-16,euro area,1
2011-10-05,euro area,0
2011-10-17,euro area,-1
2011-10-21,euro area,0
2011-10-24,euro area,1
2011-11-10,euro area,-1
2011-11-14,euro area,1
2011-11-15,euro area,0
2011-12-01,euro area,0
2011-12-19,euro area,1
2012-04-17,euro area,1
2012-04-17,euro area,0
2012-04-27,euro area,1
2012-05-08,euro area,1
2012-06-01,euro area,1
2012-06-14,euro area,1
2012-07-06,euro area,0
2012-07-17,euro area,0
2012-07-26,euro area,1
2012-09-06,euro area,1
2012-09-07,euro area,0
2012-09-11,euro area,0
2012-10-01,euro area,1
2012-10-10,euro area,0
2012-10-13,euro area,1
2012-10-22,euro area,1
2012-10-26,euro area,0
2012-10-30,euro area,0
2012-11-19,euro area,0
2012-11-21,euro area,1
2012-12-01,euro area,0
2012-12-03,euro area,1
2012-12-06,euro area,-1
2013-01-10,euro area,1
2013-01-29,euro area,1
2013-01-31,euro area,1
2013-02-07,euro area,1
2013-02-12,euro area,1
2013-02-13,euro area,1
2013-02-27,euro area,0
2013-03-04,euro area,1
2013-03-20,euro area,0
2013-03-25,euro area,1
2013-04-05,euro area,0
2013-05-03,euro area,1
2013-05-06,euro area,0
2013-05-23,euro area,1
2013-05-24,euro area,1
2013-06-26,euro area,1
2013-06-27,euro area,0
2013-08-06,euro area,0
2013-09-04,euro area,1
2013-09-06,euro area,0
2013-09-11,euro area,0
2013-09-26,euro area,1
2013-09-26,euro area,1
2013-09-27,euro area,0
2013-09-30,euro area,0
2013-10-03,euro area,0
2013-10-09,euro area,1
2013-10-12,euro area,1
2013-10-17,euro area,1
2013-10-25,euro area,1
2013-11-08,euro area,1
2013-11-12,euro area,1
2013-11-18,euro area,0
2013-11-22,euro area,1
2013-11-28,euro area,1
2013-12-09,euro area,1
2013-12-10,euro area,1
2014-01-15,euro area,0
2014-02-03,euro area,1
2014-03-24,euro area,1
2014-03-31,euro area,1
2014-04-13,euro area,0
2014-05-14,euro area,0
2014-05-23,euro area,1
2014-05-27,euro area,0
2014-05-31,euro area,0
2014-06-04,euro area,1
2014-06-11,euro area,1
2014-06-23,euro area,1
2014-06-24,euro area,0
2014-09-03,euro area,1
2014-09-08,euro area,0
2014-09-08,euro area,1
2014-09-30,euro area,0
2014-10-17,euro area,0
2014-10-22,euro area,0
2014-10-22,euro area,1
2014-11-24,euro area,0
2014-11-29,euro area,-1
2014-12-19,euro area,0
2015-01-25,euro area,1
2015-02-24,euro area,1
2015-03-16,euro area,1
2015-03-18,euro area,1
2015-03-23,euro area,1
2015-03-31,euro area,1
2015-04-11,euro area,0
2015-04-21,euro area,0
2015-04-24,euro area,1
2015-06-04,euro area,0
2015-06-16,euro area,1
2015-07-02,euro area,1
2015-07-03,euro area,1
2015-09-10,euro area,0
2015-09-10,euro area,1
2015-09-24,euro area,-1
2015-10-01,euro area,0
2015-10-06,euro area,1
2015-10-14,euro area,1
2015-10-16,euro area,1
2015-10-20,euro area,1
2015-10-26,euro area,1
2015-10-29,euro area,0
2015-11-02,euro area,1
2015-11-02,euro area,0
2015-11-04,euro area,0
2015-11-04,euro area,0
2015-11-12,euro area,1
2015-11-16,euro area,0
2015-11-17,euro area,1
2015-11-18,euro area,1
2015-11-22,euro area,0
2016-01-13,euro area,1
2016-01-13,euro area,1
2016-01-25,euro area,1
2016-01-27,euro area,1
2016-01-27,euro area,0
2016-02-01,euro area,0
2016-02-04,euro area,-1
2016-02-16,euro area,1
2016-02-22,euro area,0
2016-03-01,euro area,1
2016-03-22,euro area,1
2016-04-25,euro area,1
2016-04-26,euro area,1
2016-05-02,euro area,0
2016-06-01,euro area,0
2016-06-06,euro area,1
2016-06-06,euro area,1
2016-06-07,euro area,1
2016-06-20,euro area,1
2016-06-21,euro area,1
2016-07-05,euro area,1
2016-08-27,euro area,1
2016-09-26,euro area,1
2016-09-27,euro area,1
2016-11-07,euro area,0
2016-11-15,euro area,-1
2016-12-06,euro area,1
2017-01-06,euro area,1
2017-01-24,euro area,1
2017-01-31,euro area,1
2017-03-02,euro area,1
2017-03-13,euro area,0
2017-03-22,euro area,0
2017-03-27,euro area,0
2017-03-28,euro area,1
2017-03-30,euro area,0
2017-04-04,euro area,1
2017-05-04,euro area,0
2017-05-11,euro area,0
2017-05-31,euro area,1
2017-06-01,euro area,1
2017-06-13,euro area,0
2017-06-19,euro area,1
2017-06-19,euro area,1
2017-06-28,euro area,0
2017-06-30,euro area,1
2017-07-26,euro area,1
2017-08-22,euro area,0
2017-08-23,euro area,1
2017-09-04,euro area,1
2017-09-18,euro area,0
2017-09-22,euro area,0
2017-09-25,euro area,1
2017-09-25,euro area,1
2017-09-28,euro area,0
2017-10-09,euro area,0
2017-10-14,euro area,-1
2017-11-03,euro area,1
2017-11-14,euro area,0
2017-11-16,euro area,0
2017-11-20,euro area,0
2017-11-24,euro area,1
2017-12-16,euro area,0
2018-01-29,euro area,1
2018-01-30,euro area,0
2018-02-08,euro area,0
2018-02-14,euro area,1
2018-02-15,euro area,0
2018-02-22,euro area,1
2018-02-26,euro area,0
2018-02-27,euro area,1
2018-03-09,euro area,1
2018-03-09,euro area,1
2018-03-15,euro area,-1
2018-03-22,euro area,1
2018-04-11,euro area,0
2018-04-27,euro area,1
2018-05-14,euro area,1
2018-05-14,euro area,-1
2018-05-25,euro area,0
2018-05-29,euro area,1
2018-06-08,euro area,1
2018-06-15,euro area,0
2018-06-26,euro area,1
2018-07-10,euro area,1
2018-09-03,euro area,0
2018-09-06,euro area,1
2018-09-06,euro area,0
2018-09-25,euro area,0
2018-09-27,euro area,1
2018-10-03,euro area,1
2018-10-12,euro area,0
2018-10-30,euro area,0
2018-11-05,euro area,1
2018-11-06,euro area,1
2018-11-08,euro area,-1
2018-11-13,euro area,1
2018-11-15,euro area,1
2018-11-28,euro area,1
2018-12-14,euro area,1
2019-01-17,euro area,0
2019-02-04,euro area,0
2019-02-07,euro area,1
2019-02-13,euro area,0
2019-02-20,euro area,-1
2019-02-26,euro area,1
2019-02-27,euro area,0
2019-03-12,euro area,1
2019-03-27,euro area,0
2019-03-27,euro area,0
2019-04-17,euro area,0
2019-05-29,euro area,1
2019-06-14,euro area,1
2019-08-27,euro area,1
2019-09-02,euro area,1
2019-09-04,euro area,1
2019-09-04,euro area,1
2019-09-17,euro area,1
2019-09-25,euro area,-1
2019-10-11,euro area,0
2019-10-11,euro area,1
2019-10-16,euro area,0
2019-10-17,euro area,1
2019-11-04,euro area,1
2019-11-12,euro area,1
2019-11-15,euro area,-1
2019-11-15,euro area,0
2019-11-21,euro area,-1
2019-11-25,euro area,0
2019-11-25,euro area,0
2019-11-27,euro area,0
2019-11-28,euro area,0
2019-12-13,euro area,1
2019-12-16,euro area,1
2020-01-08,euro area,1
2020-01-09,euro area,0
2020-01-16,euro area,1
2020-01-23,euro area,1
2020-02-05,euro area,1
2020-02-17,euro area,1
2020-05-11,euro area,0
2020-05-22,euro area,0
2020-06-22,euro area,0
2020-07-02,euro area,0
2020-07-13,euro area,1
2020-10-01,euro area,0
2020-10-08,euro area,1
2020-10-12,euro area,1
2020-10-14,euro area,0
2020-10-21,euro area,0
2020-11-02,euro area,1
2020-11-04,euro area,0
2020-12-14,euro area,1
2020-12-16,euro area,1
2020-12-17,euro area,1
2021-03-03,euro area,0
2021-04-14,euro area,1
2021-04-29,euro area,1
2021-05-27,euro area,0
2021-06-03,euro area,1
2021-06-15,euro area,1
2021-06-16,euro area,1
2021-06-22,euro area,0
2021-08-26,euro area,0
2021-09-23,euro area,1
2021-09-24,euro area,1
2021-09-30,euro area,0
2021-10-07,euro area,0
2021-10-11,euro area,1
2021-10-12,euro area,1
2021-10-19,euro area,1
2021-10-19,euro area,1
2021-10-20,euro area,1
2021-11-03,euro area,1
2021-11-04,euro area,0
2021-11-11,euro area,0
2021-11-18,euro area,1
2021-11-22,euro area,1
2021-11-24,euro area,0
2021-11-25,euro area,1
2021-11-26,euro area,0
2021-12-08,euro area,0
2022-02-17,euro area,-1
2022-02-18,euro area,1
2022-03-02,euro area,0
2022-03-14,euro area,1
2022-03-17,euro area,1
2022-03-24,euro area,1
2022-03-30,euro area,1
2022-04-27,euro area,1
2022-05-20,euro area,0
2022-05-25,euro area,0
2022-06-01,euro area,0
2022-06-11,euro area,0
2022-06-15,euro area,0
2022-06-20,euro area,0
2022-06-22,euro area,1
2022-07-02,euro area,0
2022-08-18,euro area,0
2022-09-12,euro area,1
2022-09-17,euro area,0
2022-09-26,euro area,1
2022-09-29,euro area,1
2022-09-29,euro area,1
2022-10-31,euro area,-1
1997-08-29,japan,1
1999-07-29,japan,-1
1999-10-20,japan,0
2000-07-14,japan,1
2002-11-11,japan,1
2003-03-13,japan,1
2004-06-29,japan,1
2004-11-12,japan,1
2004-11-19,japan,1
2005-01-06,japan,1
2005-10-17,japan,1
2006-02-11,japan,1
2006-06-27,japan,1
2007-05-10,japan,1
2007-05-12,japan,0
2007-09-01,japan,0
2008-01-05,japan,0
2008-02-23,japan,1
2008-05-28,japan,-1
2008-09-02,japan,0
2008-11-12,japan,0
2008-11-26,japan,0
2009-05-16,japan,-1
2009-05-27,japan,0
2009-06-09,japan,1
2009-06-26,japan,0
2009-10-21,japan,-1
2009-12-22,japan,-1
2010-09-26,japan,0
2010-10-10,japan,0
2010-10-18,japan,-1
2010-10-27,japan,0
2011-03-04,japan,1
2011-09-30,japan,0
2011-11-11,japan,1
2011-11-30,japan,0
2012-09-06,japan,1
2012-10-09,japan,1
2012-10-14,japan,0
2012-11-14,japan,0
2012-12-03,japan,0
2013-05-29,japan,0
2013-10-12,japan,0
2014-02-27,japan,1
2014-05-28,japan,1
2014-09-12,japan,1
2014-11-12,japan,0
2014-12-02,japan,1
2015-04-23,japan,1
2015-06-10,japan,1
2015-06-16,japan,1
2015-12-07,japan,1
2016-02-26,japan,1
2016-03-17,japan,1
2016-04-14,japan,1
2016-05-12,japan,1
2016-09-30,japan,1
2016-11-18,japan,0
2017-01-11,japan,0
2017-02-28,japan,0
2017-04-21,japan,1
2017-05-22,japan,1
2017-05-24,japan,0
2017-05-27,japan,1
2017-10-04,japan,1
2017-11-01,japan,1
2017-12-04,japan,1
2018-04-16,japan,1
2018-08-03,japan,1
2018-10-15,japan,1
2018-10-20,japan,1
2018-11-30,japan,1
2019-01-17,japan,0
2019-01-17,japan,1
2019-06-08,japan,0
2019-07-05,japan,1
2019-09-04,japan,1
2019-10-10,japan,1
2019-11-28,japan,1
2019-11-28,japan,0
2020-01-30,japan,1
2020-02-27,japan,1
2021-03-16,japan,1
2021-03-25,japan,1
2021-03-26,japan,0
2021-06-08,japan,0
2021-07-27,japan,0
2021-10-05,japan,1
2021-10-15,japan,0
2021-11-29,japan,1
2022-03-29,japan,1
2022-04-13,japan,1
1996-07-06,sweden,1
1996-08-28,sweden,0
1996-09-19,sweden,1
1996-10-17,sweden,0
1996-10-23,sweden,0
1996-10-25,sweden,1
1996-11-22,sweden,0
1997-02-26,sweden,0
1997-03-10,sweden,0
1997-04-15,sweden,0
1997-04-17,sweden,0
1997-05-02,sweden,0
1997-08-22,sweden,0
1997-10-09,sweden,0
1997-10-21,sweden,1
1997-10-22,sweden,0
1997-11-13,sweden,1
1998-02-18,sweden,0
1998-04-03,sweden,0
1998-05-29,sweden,1
1998-08-27,sweden,0
1998-09-29,sweden,0
1998-12-02,sweden,1
1998-12-06,sweden,0
1999-04-21,sweden,1
1999-05-21,sweden,0
1999-09-14,sweden,0
1999-10-06,sweden,0
1999-10-09,sweden,1
1999-10-14,sweden,1
1999-10-29,sweden,1
2000-03-11,sweden,1
2000-03-20,sweden,1
2000-05-04,sweden,1
2000-05-22,sweden,0
2000-05-22,sweden,-1
2000-07-11,sweden,0
2000-08-11,sweden,1
2000-08-26,sweden,-1
2000-09-29,sweden,1
2000-12-10,sweden,1
2001-03-04,sweden,0
2001-03-21,sweden,0
2001-04-09,sweden,0
2001-05-15,sweden,0
2001-09-05,sweden,0
2001-09-25,sweden,0
2001-10-16,sweden,1
2002-01-23,sweden,0
2002-04-17,sweden,0
2002-07-06,sweden,0
2002-09-04,sweden,0
2002-09-16,sweden,0
2002-11-13,sweden,1
2003-04-09,sweden,0
2003-05-23,sweden,1
2003-06-17,sweden,0
2003-10-12,sweden,0
2003-11-25,sweden,0
2004-08-26,sweden,-1
2004-09-23,sweden,1
2004-11-16,sweden,-1
